Generated by GetData Graph Digitizer 2.26.0.20 on May 09 2026, 12:16
from file 'C:\Users\asus\Desktop\Picture1.jpg'

Line #1
 9.02479338842975e+001    1.92028985507246e+002
 8.52892561983471e+001    2.05314009661836e+002
 7.78512396694215e+001    2.21014492753623e+002
 7.23966942148760e+001    2.37922705314010e+002
 6.24793388429752e+001    2.59661835748792e+002
 5.65289256198347e+001    2.72946859903382e+002
 5.00826446280992e+001    2.86231884057971e+002
 4.36363636363636e+001    2.99516908212560e+002

4 degree
 1.66611570247934e+002    8.33333333333333e+001
 1.63636363636364e+002    9.17874396135266e+001
 1.61157024793388e+002    1.00241545893720e+002
 1.58181818181818e+002    1.07487922705314e+002
 1.52727272727273e+002    1.20772946859903e+002
 1.49256198347107e+002    1.31642512077295e+002
 1.45785123966942e+002    1.43719806763285e+002
 1.39834710743802e+002    1.58212560386473e+002
 1.33884297520661e+002    1.70289855072464e+002
 1.30413223140496e+002    1.81159420289855e+002
 1.25950413223140e+002    1.89613526570048e+002
 1.22479338842975e+002    2.01690821256039e+002
 1.16033057851240e+002    2.13768115942029e+002
 1.11074380165289e+002    2.28260869565217e+002
 1.04132231404959e+002    2.42753623188406e+002
 9.91735537190083e+001    2.53623188405797e+002
 9.42148760330578e+001    2.63285024154589e+002
 8.92561983471074e+001    2.74154589371981e+002
 8.38016528925620e+001    2.85024154589372e+002
 7.73553719008264e+001    2.95893719806763e+002
 7.14049586776860e+001    3.07971014492754e+002
 6.49586776859504e+001    3.18840579710145e+002
 6.04958677685950e+001    3.28502415458937e+002
 5.65289256198347e+001    3.36956521739130e+002
 4.95867768595041e+001    3.46618357487923e+002

8 degree
 2.07272727272727e+002    1.02657004830918e+002
 2.02314049586777e+002    1.12318840579710e+002
 1.98347107438017e+002    1.25603864734300e+002
 1.93388429752066e+002    1.35265700483092e+002
 1.89421487603306e+002    1.46135265700483e+002
 1.84462809917355e+002    1.55797101449275e+002
 1.80991735537190e+002    1.65458937198068e+002
 1.75537190082645e+002    1.78743961352657e+002
 1.68099173553719e+002    1.93236714975845e+002
 1.64628099173554e+002    2.01690821256039e+002
 1.60165289256198e+002    2.12560386473430e+002
 1.56694214876033e+002    2.21014492753623e+002
 1.52231404958678e+002    2.29468599033816e+002
 1.48760330578512e+002    2.35507246376812e+002
 1.45289256198347e+002    2.43961352657005e+002
 1.40826446280992e+002    2.52415458937198e+002
 1.35867768595041e+002    2.62077294685990e+002
 1.30909090909091e+002    2.72946859903382e+002
 1.24958677685950e+002    2.86231884057971e+002
 1.18016528925620e+002    2.98309178743961e+002
